epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,198.767,0.86645,3.79747,0.3362,0.91141,1.20639,0.92953,0.9139,0.96027,0.78887,0.81656,0.70136,0.67744,0.34648,0.39851,1.77,0.14985,2.45557,0.55324,0.00332893,0.00332893,0.00332893
2,381.397,0.85671,3.7079,0.30245,0.77233,1.18973,0.85088,0.71519,0.81391,0.57723,0.59108,0.45341,0.40277,0.15436,0.62798,2.57457,0.20039,2.74245,0.72542,0.00659631,0.00659631,0.00659631
3,562.288,0.9929,4.4052,0.33113,0.89924,1.26235,0.52236,0.45777,0.43355,0.27902,0.28159,0.16022,0.11223,0.03064,0.84414,3.62859,0.24601,5.04786,0.94288,0.00979768,0.00979768,0.00979768
4,749.632,1.08517,4.77482,0.3494,0.97943,1.30572,0.64785,0.43009,0.49492,0.32899,0.56573,0.25486,0.24132,0.0886,0.90058,3.44476,0.32956,7.67608,1.02124,0.009703,0.009703,0.009703
5,926.962,0.9903,4.35972,0.3396,0.84791,1.24174,0.26028,0.20436,0.13869,0.05377,0.05348,0.04523,0.01213,0.00412,1.5808,4.49385,0.37908,6.25127,1.96234,0.009604,0.009604,0.009604
6,1103.83,0.95813,4.11058,0.32611,0.79379,1.22095,0.80172,0.51935,0.62264,0.42944,0.6265,0.35259,0.32599,0.12678,0.82594,2.97733,0.2277,2.62578,0.96798,0.009505,0.009505,0.009505
7,1278.36,0.91144,3.85196,0.32237,0.73415,1.18888,0.81542,0.52724,0.66241,0.4546,0.58442,0.33406,0.33527,0.12275,0.78474,3.02845,0.28711,1.39152,0.88427,0.009406,0.009406,0.009406
8,1455.69,0.88368,3.6612,0.3145,0.70481,1.16842,0.68521,0.2436,0.26504,0.15262,0.33709,0.11335,0.07243,0.02565,1.36908,4.06219,0.35558,4.29842,1.60763,0.009307,0.009307,0.009307
9,1632.91,0.86496,3.51333,0.31034,0.66623,1.15665,0.45674,0.37929,0.36235,0.21142,0.3705,0.27684,0.23478,0.10513,1.1748,3.26259,0.25966,5.37298,1.43707,0.009208,0.009208,0.009208
10,1808.02,0.84042,3.35581,0.30373,0.65091,1.14061,0.92868,0.74504,0.87099,0.66764,0.7296,0.56839,0.57676,0.25414,0.49014,2.09356,0.18199,0.83257,0.64061,0.009109,0.009109,0.009109
11,1983.51,0.81974,3.23861,0.30158,0.62395,1.13254,0.79592,0.58474,0.67956,0.5103,0.78356,0.45178,0.49535,0.23088,0.69081,2.48853,0.26257,1.44093,0.85629,0.00901,0.00901,0.00901
1,180.048,0.86645,3.79747,0.3362,0.91141,1.20639,0.92953,0.9139,0.96027,0.78887,0.81656,0.70136,0.67744,0.34648,0.39851,1.77,0.14985,2.45557,0.55324,0.00332893,0.00332893,0.00332893
2,357.067,0.85671,3.7079,0.30245,0.77233,1.18973,0.85088,0.71519,0.81391,0.57723,0.59108,0.45341,0.40277,0.15436,0.62798,2.57457,0.20039,2.74245,0.72542,0.00659631,0.00659631,0.00659631
3,533.953,0.9929,4.4052,0.33113,0.89924,1.26235,0.52236,0.45777,0.43355,0.27902,0.28159,0.16022,0.11223,0.03064,0.84414,3.62859,0.24601,5.04786,0.94288,0.00979768,0.00979768,0.00979768
4,710.597,1.08517,4.77482,0.3494,0.97943,1.30572,0.64785,0.43009,0.49492,0.32899,0.56573,0.25486,0.24132,0.0886,0.90058,3.44476,0.32956,7.67608,1.02124,0.009703,0.009703,0.009703
5,887.02,0.9903,4.35972,0.3396,0.84791,1.24174,0.26028,0.20436,0.13869,0.05377,0.05348,0.04523,0.01213,0.00412,1.5808,4.49385,0.37908,6.25127,1.96234,0.009604,0.009604,0.009604
6,1063.53,0.95813,4.11058,0.32611,0.79379,1.22095,0.80172,0.51935,0.62264,0.42944,0.6265,0.35259,0.32599,0.12678,0.82594,2.97733,0.2277,2.62578,0.96798,0.009505,0.009505,0.009505
7,1238.57,0.91144,3.85196,0.32237,0.73415,1.18888,0.81542,0.52724,0.66241,0.4546,0.58442,0.33406,0.33527,0.12275,0.78474,3.02845,0.28711,1.39152,0.88427,0.009406,0.009406,0.009406
8,1415.8,0.88368,3.6612,0.3145,0.70481,1.16842,0.68521,0.2436,0.26504,0.15262,0.33709,0.11335,0.07243,0.02565,1.36908,4.06219,0.35558,4.29842,1.60763,0.009307,0.009307,0.009307
9,1593.08,0.86496,3.51333,0.31034,0.66623,1.15665,0.45674,0.37929,0.36235,0.21142,0.3705,0.27684,0.23478,0.10513,1.1748,3.26259,0.25966,5.37298,1.43707,0.009208,0.009208,0.009208
10,1768.26,0.84042,3.35581,0.30373,0.65091,1.14061,0.92868,0.74504,0.87099,0.66764,0.7296,0.56839,0.57676,0.25414,0.49014,2.09356,0.18199,0.83257,0.64061,0.009109,0.009109,0.009109
11,1943.84,0.81974,3.23861,0.30158,0.62395,1.13254,0.79592,0.58474,0.67956,0.5103,0.78356,0.45178,0.49535,0.23088,0.69081,2.48853,0.26257,1.44093,0.85629,0.00901,0.00901,0.00901
12,2122.38,0.82003,3.12612,0.29463,0.62005,1.12873,0.20865,0.23597,0.15457,0.07273,0.11381,0.06866,0.0402,0.01945,1.576,4.40564,0.44111,13.5434,2.16123,0.008911,0.008911,0.008911
13,2297.86,0.79234,3.04059,0.28955,0.59623,1.11619,0.97882,0.96839,0.98681,0.84912,0.91015,0.89424,0.88271,0.48214,0.33786,1.14811,0.1265,0.51345,0.5051,0.008812,0.008812,0.008812
14,2473.76,0.79813,3.02295,0.28888,0.59641,1.11915,0.97545,0.98038,0.98728,0.85969,0.91653,0.91554,0.89628,0.49575,0.32193,1.10413,0.12216,1.15876,0.48796,0.008713,0.008713,0.008713
15,2648.62,0.78071,2.85698,0.28506,0.57265,1.11185,0.97453,0.66719,0.80382,0.65096,0.86899,0.5928,0.64765,0.34132,0.51163,1.88641,0.16921,0.90051,0.66168,0.008614,0.008614,0.008614
16,2823.11,0.76312,2.8017,0.28085,0.55603,1.09812,0.93652,0.88441,0.95677,0.80729,0.86743,0.79158,0.8337,0.47951,0.3882,1.36166,0.14082,0.47983,0.53736,0.008515,0.008515,0.008515
17,2994.93,0.76153,2.79555,0.27677,0.55719,1.09679,0.94489,0.5346,0.75393,0.61321,0.89288,0.50518,0.68032,0.40326,0.53588,1.78339,0.17991,1.23301,0.66383,0.008416,0.008416,0.008416
18,3169.37,0.75641,2.62811,0.27286,0.5429,1.09179,0.97044,0.91251,0.96632,0.82995,0.9026,0.84335,0.86495,0.5169,0.33983,1.17897,0.13127,0.56922,0.49807,0.008317,0.008317,0.008317
19,3345.55,0.7466,2.65539,0.27064,0.54105,1.0912,0.9146,0.78147,0.86305,0.68738,0.82867,0.70082,0.73811,0.41928,0.47867,1.55646,0.16963,0.65524,0.60785,0.008218,0.008218,0.008218
